precision,recall,threshold
0.06525735294117647,0.9909688013136289,0.024148892611265182
0.06527146874324032,0.9909688013136289,0.02414969727396965
0.06531031870569774,0.9909688013136289,0.02416086196899414
0.06533152909336942,0.9909688013136289,0.024165693670511246
0.06534567700720048,0.9909688013136289,0.024173272773623466
0.06535275326222319,0.9909688013136289,0.024179736152291298
0.06537045060658579,0.9909688013136289,0.024183008819818497
0.06538815753832819,0.9909688013136289,0.024191757664084435
0.06540941852273344,0.9909688013136289,0.024193894118070602
0.06542360019513253,0.9909688013136289,0.024197082966566086
0.06544488423792225,0.9909688013136289,0.024223899468779564
0.06545908129508107,0.9909688013136289,0.02422742359340191
0.0654768362807855,0.9909688013136289,0.02423090673983097
0.06548038843378723,0.9909688013136289,0.0242550540715456
0.06548749389615321,0.9909688013136289,0.02426181733608246
0.06551593117299029,0.9909688013136289,0.02427179366350174
0.06552304435155529,0.9909688013136289,0.024276163429021835
0.0655372753434327,0.9909688013136289,0.024278350174427032
0.06555863342566944,0.9909688013136289,0.024282507598400116
0.06557287988265334,0.9909688013136289,0.024288669228553772
0.06558000543330617,0.9909688013136289,0.02429346740245819
0.065608523128771,0.9909688013136289,0.024307208135724068
0.06562992768201838,0.9909688013136289,0.02431553229689598
0.06564420514493936,0.9909688013136289,0.024392452090978622
0.06565848882119349,0.9909688013136289,0.02445783093571663
0.06566563299058811,0.9909688013136289,0.02446145936846733
0.06567992599444958,0.9909688013136289,0.024475043639540672
0.06569064983128334,0.9909688013136289,0.0244807917624712
0.06571210801393729,0.9909688013136289,0.02448265068233013
0.06571568574073065,0.9909688013136289,0.0245219599455595
0.06575506646328176,0.9909688013136289,0.024529483169317245
0.06576939843068876,0.9909688013136289,0.02455451525747776
0.065783736647046,0.9909688013136289,0.024568967521190643
0.06580525569730673,0.9909688013136289,0.024599086493253708
0.06581243184296619,0.9909688013136289,0.024604924023151398
0.06583037905644941,0.9909688013136289,0.024605492129921913
0.06584474387649338,0.9909688013136289,0.02462078630924225
0.065851928637678,0.9909688013136289,0.02463933639228344
0.0658591149669886,0.9909688013136289,0.02464132197201252
0.06587708765418622,0.9909688013136289,0.024662256240844727
0.06588787597576287,0.9909688013136289,0.024674031883478165
0.06590586436605875,0.9909688013136289,0.024682141840457916
0.06593106462009067,0.9909688013136289,0.024703172966837883
0.06595628415300546,0.9909688013136289,0.024711376056075096
0.06595988851849828,0.9909688013136289,0.024715596809983253
0.06596349327795388,0.9909688013136289,0.024725228548049927
0.06597430992074338,0.9909688013136289,0.024728044867515564
0.06599595385204221,0.9909688013136289,0.024731464684009552
0.06601761198927966,0.9909688013136289,0.024734634906053543
0.06602122306093425,0.9909688013136289,0.024778805673122406
0.06603567129882919,0.9909688013136289,0.024781551212072372
0.06604651162790698,0.9909688013136289,0.024784334003925323
0.06606458675424193,0.9909688013136289,0.024790901690721512
0.06607905398007227,0.9909688013136289,0.02480081096291542
0.06609714692514101,0.9909688013136289,0.02480803057551384
0.06610800744878957,0.9909688013136289,0.02480875328183174
0.06611524978089395,0.9909688013136289,0.024812787771224976
0.06612973920666228,0.9909688013136289,0.024822279810905457
0.06614423498465585,0.9909688013136289,0.024847649037837982
0.06615873711905285,0.9909688013136289,0.02487228438258171
